鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區福興路78巷1~30號,36.95,商,,,1050804,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,101.67,3,1,1,有,無,7900000,77702,,0,0,親友、員工或其他特殊關係間之交易。(二親等間買賣),RPROMLQLRHLFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路六段31~60號,22.81,住,,,1050807,土地2建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970521,132.11,2,2,1,有,有,16200000,122616,坡道機械,43.42,0,,RPPOMLMLRHLFFAA77DA
中正區,房地(土地+建物),臺北市中正區重慶南路三段27巷1~30號,21.5,住,,,1050810,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),,加強磚造,,67.01,2,2,2,有,無,8000000,119385,,0,0,含增建或未登記建物。,RPOOMLOLRHLFFAA87DA
中正區,建物,臺北市中正區齊東街82巷1~30號,0,,,,1040520,土地0建物1車位0,二層,五層,其他,住家用,鋼筋混凝土造,1051025,83.68,0,0,0,無,有,7884000,94216,,0,0,建物型態5樓有電梯,RPUOMLQJJHMFFBA77CA
中正區,建物,臺北市中正區齊東街82巷1~30號,0,,,,1040304,土地0建物1車位0,二層,五層,其他,住家用,鋼筋混凝土造,1051025,50.69,0,0,0,無,有,4884000,96350,,0,0,建物型態5樓有電梯。,RPWOMLQJJHMFFBA97CA
中正區,建物,臺北市中正區齊東街82巷1~30號,0,,,,1040527,土地0建物1車位0,四層,五層,其他,住家用,鋼筋混凝土造,1051025,150.9,3,1,3,有,有,13404000,88827,,0,0,建物型態5樓有電梯。,RPOPMLQJJHMFFBA27CA
大同區,建物,臺北市大同區延平北路二段135巷1~30號,0,,,,1060317,土地0建物1車位0,全,,透天厝,,,,135.53,0,0,0,無,無,1050000,7747,,0,0,,RPTPMLLLMHMFFBA77CA
大同區,房地(土地+建物),臺北市大同區保安街1~30號,13.7,商,,,1060228,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670202,73.71,2,1,1,有,無,9800000,132953,,0,0,,RPTNMLOLMHMFFBA87CA
大同區,車位,臺北市大同區甘谷街31~60號,3.19,商,,,1060321,土地0建物0車位1,地下一層,十六層,其他,見使用執照,鋼筋混凝土造,811006,34.5,0,0,0,有,有,3300000,,坡道平面,34.5,3300000,,RPWOMLNKMHMFFBA08CA
大同區,房地(土地+建物),臺北市大同區承德路三段214巷1~30號,33.05,住,,,1060402,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770307,107.83,3,2,2,有,無,10000000,92739,,0,0,親友、員工或其他特殊關係間之交易。,RPROMLPJPHMFFBA97CA
中山區,房地(土地+建物),臺北市中山區民生東路二段61~90號,136,商,,,1060320,土地1建物1車位0,全,三層,透天厝,,加強磚造,,294,11,1,11,有,無,105000000,357143,,0,0,,RPTNMLKKPHMFFCA77CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,1.75,商,,,1060428,土地1建物1車位0,十四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,26.1,1,1,1,有,有,4840000,185441,,0,0,親友、員工或其他特殊關係間之交易。,RPPOMLPJPHMFFBA77CA
大安區,房地(土地+建物),臺北市大安區仁愛路三段123巷3弄1~30號,40.5,住,,,1060110,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,210.63,4,2,2,有,有,20000000,94953,,0,0,本買賣案件係屬三親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPPNMLNJPHMFFFA87CA
北投區,房地(土地+建物),臺北市北投區新民路91~120號,31.8,住,,,1060524,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681101,106.57,3,2,2,有,無,9250000,86797,,0,0,,RPTOMLMKPHMFFEA28CA
大安區,房地(土地+建物),臺北市大安區安居街8巷1~30號,26.28,住,,,1060407,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711023,120.41,3,2,2,有,無,15000000,124574,,0,0,三等親買賣,RPTNMLNJPHMFFFA28CA
